rank	char	count	percent
1	а	6410653	12.918759
2	н	3803368	7.664554
3	т	3217520	6.483952
4	к	3194577	6.437717
5	р	3023982	6.093934
6	ы	2835753	5.714614
7	и	2533078	5.104663
8	е	2407577	4.851753
9	л	2360471	4.756825
10	у	2209836	4.453265
11	д	2059133	4.149568
12	о	1954080	3.937865
13	м	1424816	2.871292
14	г	1414897	2.851303
15	с	1358656	2.737966
16	ү	1251055	2.521128
17	б	1244108	2.507129
18	ө	1109310	2.235483
19	ш	853344	1.719660
20	п	818023	1.648481
21	й	729962	1.471021
22	ж	677496	1.365291
23	з	676766	1.363820
24	ч	600600	1.210330
25	в	372114	0.749885
26	я	322847	0.650602
27	э	269118	0.542327
28	ц	120318	0.242465
29	ң	109396	0.220455
30	ю	83945	0.169166
31	ф	81637	0.164515
32	ь	43752	0.088169
33	х	40111	0.080832
34	ё	5760	0.011608
35	ъ	2805	0.005653
36	щ	1230	0.002479
37	ӊ	731	0.001473
