rank	trigram	count	percent
1	нда	337770	0.801019
2	ган	297084	0.704532
3	ары	268501	0.636748
4	ара	215837	0.511856
5	нын	210618	0.499479
6	тар	208359	0.494122
7	анд	185376	0.439618
8	ала	182815	0.433544
9	алы	180030	0.426940
10	ард	175621	0.416484
11	кан	173693	0.411911
12	аны	172730	0.409628
13	ынд	171194	0.405985
14	лга	160055	0.379569
15	лар	153035	0.362921
16	дар	144186	0.341936
17	рды	141447	0.335440
18	ери	135307	0.320879
19	мат	135267	0.320784
20	кар	131525	0.311910
21	ына	129497	0.307101
22	агы	125955	0.298701
23	дын	125213	0.296942
24	аты	122951	0.291577
25	тер	119215	0.282717
26	тан	119199	0.282679
27	кта	117841	0.279459
28	бол	112513	0.266824
29	асы	111838	0.265223
30	рын	110903	0.263005
31	атт	107143	0.254089
32	ата	106491	0.252542
33	сын	106276	0.252033
34	айы	104579	0.248008
35	алд	103707	0.245940
36	бер	101542	0.240806
37	ору	101128	0.239824
38	лды	99862	0.236822
39	ыны	99780	0.236627
40	айт	98162	0.232790
41	ага	98103	0.232650
42	ген	97142	0.230371
43	тал	95603	0.226722
44	алг	95315	0.226039
45	дан	94517	0.224146
46	кыз	93911	0.222709
47	ция	93544	0.221839
48	акт	91116	0.216081
49	тур	90788	0.215303
50	лык	90010	0.213458
51	ини	89606	0.212500
52	рга	88326	0.209464
53	бек	87442	0.207368
54	ста	87373	0.207204
55	тта	86908	0.206102
56	ылы	86148	0.204299
57	тка	85850	0.203593
58	уну	85779	0.203424
59	атк	84995	0.201565
60	туу	84547	0.200502
61	тын	84417	0.200194
62	ект	84084	0.199404
63	рди	82344	0.195278
64	ерд	82036	0.194548
65	тин	81824	0.194045
66	кал	81776	0.193931
67	шка	80980	0.192043
68	дин	80477	0.190850
69	кер	79759	0.189148
70	кыр	79376	0.188239
71	кен	78482	0.186119
72	жыл	78177	0.185396
73	рда	77989	0.184950
74	ист	76735	0.181976
75	дык	76203	0.180715
76	ура	75959	0.180136
77	арт	75927	0.180060
78	нун	75580	0.179237
79	кат	74736	0.177236
80	ент	74640	0.177008
81	лер	74251	0.176086
82	илд	73930	0.175324
83	ула	73705	0.174791
84	нды	73535	0.174388
85	нин	72829	0.172713
86	даг	72674	0.172346
87	лди	72365	0.171613
88	нде	72124	0.171041
89	или	71950	0.170629
90	бар	70722	0.167717
91	лан	70166	0.166398
92	баш	69672	0.165227
93	ада	69075	0.163811
94	лда	68930	0.163467
95	зма	68188	0.161707
96	тке	67999	0.161259
97	жар	67796	0.160778
98	ызм	67788	0.160759
99	бил	67664	0.160465
100	ыкт	67634	0.160393
101	луу	67530	0.160147
102	шта	67474	0.160014
103	кел	67109	0.159148
104	ыгы	66988	0.158861
105	нан	66861	0.158560
106	жат	66076	0.156699
107	өрү	65822	0.156096
108	рүү	63773	0.151237
109	унд	63217	0.149919
110	аба	63030	0.149475
111	еле	62992	0.149385
112	кет	62633	0.148534
113	гон	62273	0.147680
114	ашт	61300	0.145372
115	ири	61221	0.145185
116	үнү	61071	0.144829
117	рат	60951	0.144545
118	улу	60764	0.144101
119	дир	60535	0.143558
120	лик	60345	0.143108
121	уру	60016	0.142327
122	рма	59851	0.141936
123	ишт	59525	0.141163
124	ине	59495	0.141092
125	ана	59230	0.140463
126	рин	58494	0.138718
127	нүн	58413	0.138526
128	айл	57981	0.137501
129	кте	57641	0.136695
130	рге	57466	0.136280
131	сун	56863	0.134850
132	ылд	56792	0.134682
133	ден	56150	0.133159
134	сал	56099	0.133038
135	аар	55833	0.132407
136	олу	55787	0.132298
137	бай	55682	0.132049
138	гын	55627	0.131919
139	көр	55598	0.131850
140	кыл	55566	0.131774
141	аал	55256	0.131039
142	үнд	55089	0.130643
143	ырг	54947	0.130306
