rank	bigram	count	percent
1	ар	1118329	1.831005
2	ан	1066707	1.746486
3	ын	875918	1.434113
4	та	819521	1.341776
5	ка	770408	1.261365
6	ал	763689	1.250364
7	да	746846	1.222788
8	ат	687876	1.126238
9	нд	679290	1.112180
10	на	581124	0.951456
11	ин	566300	0.927185
12	ер	534969	0.875888
13	ма	529029	0.866163
14	га	528210	0.864822
15	ра	507921	0.831603
16	ак	498831	0.816720
17	ай	475585	0.778660
18	ба	454302	0.743814
19	ла	453645	0.742739
20	кт	439365	0.719359
21	рд	404718	0.662632
22	ке	404433	0.662165
23	ун	404078	0.661584
24	ык	391698	0.641315
25	ды	387867	0.635042
26	ты	372249	0.609472
27	ен	362440	0.593412
28	жа	346685	0.567616
29	уу	345852	0.566253
30	ко	338474	0.554173
31	ек	338317	0.553916
32	те	337312	0.552270
33	ны	334211	0.547193
34	ор	330120	0.540495
35	тт	329030	0.538711
36	ры	328889	0.538480
37	ти	322337	0.527752
38	нк	321112	0.525747
39	лд	309713	0.507083
40	кы	309688	0.507042
41	де	298348	0.488476
42	ту	292139	0.478310
43	үн	290035	0.474865
44	ам	287617	0.470906
45	нт	281017	0.460100
46	рг	277084	0.453661
47	ри	277024	0.453563
48	ыл	276902	0.453363
49	лы	275591	0.451217
50	бе	274963	0.450188
51	ас	274529	0.449478
52	лг	269596	0.441401
53	аа	266449	0.436249
54	ди	264682	0.433356
55	ур	264552	0.433143
56	ни	262174	0.429249
57	сы	259003	0.424058
58	тк	258782	0.423696
59	ук	257627	0.421805
60	оо	250141	0.409548
61	са	249800	0.408990
62	ст	249626	0.408705
63	ли	245609	0.402128
64	аб	244601	0.400478
65	гы	243687	0.398981
66	аг	243344	0.398420
67	ил	241623	0.395602
68	ик	241588	0.395544
69	ол	239267	0.391744
70	ет	239175	0.391594
71	ру	236373	0.387006
72	шт	230426	0.377269
73	ия	223713	0.366278
74	аш	219562	0.359482
75	ну	218694	0.358061
76	то	218450	0.357661
77	нб	217712	0.356453
78	он	217366	0.355887
79	тү	213254	0.349154
80	кө	212942	0.348643
81	ыр	209030	0.342238
82	ул	207394	0.339560
83	лу	204367	0.334604
84	ле	203172	0.332647
85	ыз	202009	0.330743
86	ку	200810	0.328780
87	ир	195609	0.320264
88	ел	183714	0.300789
89	ду	182906	0.299466
90	ги	182462	0.298739
91	өр	181080	0.296477
92	рт	181049	0.296426
93	үү	180565	0.295633
94	өн	178748	0.292659
95	ми	178254	0.291850
96	иш	177968	0.291381
97	ад	174944	0.286430
98	ге	173472	0.284020
99	би	171457	0.280721
100	па	167568	0.274354
101	ов	166832	0.273149
102	ап	163573	0.267813
103	бо	162542	0.266125
104	кк	160171	0.262243
105	шк	159596	0.261302
106	ки	158344	0.259252
107	до	157860	0.258459
108	су	154645	0.253195
109	ис	152404	0.249526
110	ыш	152347	0.249433
111	ып	152053	0.248952
112	өт	151379	0.247848
113	не	150894	0.247054
114	ок	150583	0.246545
115	рү	149908	0.245440
116	ре	147900	0.242152
117	нж	147332	0.241222
118	чы	144130	0.235980
119	си	138372	0.226552
120	ме	137612	0.225308
121	нс	136762	0.223916
122	им	135529	0.221897
123	но	134691	0.220525
124	ус	134645	0.220450
125	ым	134297	0.219880
126	аз	134088	0.219538
127	йт	130580	0.213795
128	өл	130365	0.213443
129	рк	130276	0.213297
130	дө	130213	0.213194
131	ев	127832	0.209295
132	го	126906	0.207779
133	нү	125252	0.205071
134	пк	125210	0.205002
135	рл	124307	0.203524
136	ло	124041	0.203088
137	ша	123913	0.202879
138	at	123207	0.201723
139	ро	121214	0.198460
140	ом	120896	0.197939
141	за	120804	0.197789
142	гө	120663	0.197558
143	аж	119513	0.195675
144	ци	118400	0.193853
145	нө	117848	0.192949
146	мд	116912	0.191416
147	үр	115554	0.189193
148	йы	115471	0.189057
149	тө	114835	0.188016
150	из	114319	0.187171
151	нм	114077	0.186775
152	ыг	111576	0.182680
153	пт	109888	0.179916
154	te	109121	0.178660
155	ча	108940	0.178364
156	чу	108810	0.178151
157	un	108723	0.178009
158	йл	107235	0.175573
159	or	106167	0.173824
160	ут	105898	0.173383
161	кү	105466	0.172676
162	үл	104922	0.171786
163	рм	104716	0.171448
164	nk	104463	0.171034
165	кс	103283	0.169102
166	от	102562	0.167922
167	ru	101726	0.166553
168	же	99849	0.163480
169	no	97825	0.160166
170	ed	96996	0.158809
171	ва	96678	0.158288
172	kn	95546	0.156434
173	ес	94997	0.155536
174	со	94557	0.154815
175	ем	93964	0.153844
176	зд	93759	0.153509
177	ow	93174	0.152551
178	wn	92857	0.152032
179	нч	92345	0.151194
180	уш	91937	0.150526
181	еп	91670	0.150088
182	ит	90658	0.148432
183	рб	90590	0.148320
184	се	89938	0.147253
185	ум	88849	0.145470
186	лө	87814	0.143775
187	тр	87137	0.142667
188	гу	87086	0.142583
189	ыс	85644	0.140222
190	үк	85357	0.139752
191	нг	84972	0.139122
192	ег	84752	0.138762
193	дү	84748	0.138755
194	зм	84503	0.138354
195	лү	83944	0.137439
196	en	83091	0.136042
197	шы	81861	0.134028
198	өк	81702	0.133768
199	уг	81240	0.133012
200	ей	80513	0.131821
201	чи	79635	0.130384
202	ог	79243	0.129742
203	өө	78994	0.129334
204	км	78300	0.128198
205	шу	78236	0.128093
206	ыб	77989	0.127689
207	мы	77933	0.127597
208	өз	77758	0.127311
209	жы	77372	0.126679
210	гү	77165	0.126340
211	уб	76998	0.126066
212	лб	75991	0.124418
213	зи	75816	0.124131
214	nt	75017	0.122823
215	ип	74603	0.122145
216	жо	74380	0.121780
217	ял	73030	0.119570
218	му	72880	0.119324
219	лк	72759	0.119126
220	пр	72706	0.119039
221	ач	72701	0.119031
222	ыт	72660	0.118964
223	рс	72642	0.118934
224	оп	71954	0.117808
225	ый	71699	0.117391
226	ыа	71552	0.117150
227	to	70667	0.115701
228	вд	70521	0.115462
229	об	70162	0.114874
230	бу	69956	0.114537
231	an	69734	0.114173
232	че	69686	0.114095
233	ns	69090	0.113119
234	уч	68968	0.112919
235	it	68817	0.112672
236	ши	68412	0.112009
237	яс	68397	0.111984
238	ид	67284	0.110162
239	ий	67230	0.110074
240	бы	67043	0.109767
241	иг	66737	0.109266
242	иа	65623	0.107442
243	зы	64644	0.105840
244	tp	63342	0.103708
245	ае	62555	0.102419
246	ян	61746	0.101095
247	еб	61378	0.100492
248	йд	59676	0.097706
249	сү	59423	0.097291
250	еш	58951	0.096519
251	ше	58837	0.096332
252	ыж	58018	0.094991
253	ая	57430	0.094028
254	үй	57086	0.093465
255	уп	57076	0.093449
256	үш	56855	0.093087
257	мо	56687	0.092812
258	ск	55889	0.091505
259	үм	55619	0.091063
260	da	55589	0.091014
261	үз	55127	0.090258
262	по	55103	0.090218
263	зү	54711	0.089577
264	ош	54343	0.088974
265	пж	54245	0.088814
266	мб	53841	0.088152
267	as	53815	0.088110
268	ед	53792	0.088072
269	ос	53666	0.087866
270	үп	53630	0.087807
271	иб	53627	0.087802
272	мк	53400	0.087430
273	кб	52703	0.086289
274	зг	52131	0.085352
275	лт	51913	0.084996
276	чү	51809	0.084825
277	мө	51401	0.084157
278	пу	51248	0.083907
279	уд	51197	0.083823
280	ra	51064	0.083605
281	уз	51020	0.083533
282	ав	50439	0.082582
283	ие	49668	0.081320
284	үг	49530	0.081094
285	ез	49045	0.080300
286	еч	48969	0.080175
287	эк	48955	0.080152
288	oo	47937	0.078486
289	мү	47790	0.078245
290	лм	46846	0.076699
291	la	46630	0.076346
292	ви	46455	0.076059
293	ky	46393	0.075958
294	st	46064	0.075419
295	кч	45816	0.075013
296	өм	45366	0.074276
297	рө	45132	0.073893
298	tt	44698	0.073183
299	жу	44419	0.072726
300	өг	44414	0.072718
301	нэ	44253	0.072454
302	эр	44236	0.072426
303	yk	44180	0.072335
304	йк	43999	0.072038
305	үт	43996	0.072033
306	ti	43925	0.071917
307	lo	43863	0.071816
308	йр	43706	0.071558
309	эл	43064	0.070507
310	пб	42892	0.070226
311	ne	42877	0.070201
312	иц	42776	0.070036
313	аи	42707	0.069923
314	di	42659	0.069844
315	уа	42500	0.069584
316	ur	42456	0.069512
317	үч	42110	0.068945
318	op	41481	0.067916
319	ht	41357	0.067713
320	kl	40806	0.066810
321	жү	40659	0.066570
322	si	40403	0.066151
323	ой	40401	0.066147
324	үс	40243	0.065889
325	сп	40170	0.065769
326	рж	39670	0.064950
327	бө	39590	0.064819
328	шү	39476	0.064633
329	йм	39404	0.064515
330	es	39329	0.064392
331	бл	39042	0.063922
332	nc	38811	0.063544
333	le	38724	0.063402
334	йб	38706	0.063372
335	re	38692	0.063349
336	оч	38556	0.063127
337	ең	38357	0.062801
338	ээ	38345	0.062781
339	нп	38241	0.062611
340	pa	38048	0.062295
341	уж	37960	0.062151
342	зс	37940	0.062118
343	ar	37920	0.062085
344	өс	37824	0.061928
