rank	char	count	percent
1	SPACE	9787414	13.580975
2	а	7240353	10.046684
3	н	4240418	5.883986
4	к	3614981	5.016133
5	т	3614124	5.014944
6	р	3390657	4.704862
7	ы	3183383	4.417249
8	и	2856953	3.964296
9	е	2704336	3.752525
10	л	2660787	3.692097
11	у	2492469	3.458540
12	д	2317652	3.215964
13	о	2197462	3.049189
14	м	1617610	2.244589
15	г	1587375	2.202635
16	с	1525604	2.116922
17	б	1397152	1.938682
18	ү	1395451	1.936322
19	ө	1241223	1.722316
20	\n	1170860	1.624680
21	ш	955240	1.325487
22	п	910827	1.263860
23	й	824289	1.143780
24	з	767789	1.065381
25	ж	756384	1.049555
26	ч	669050	0.928371
27	t	529366	0.734546
28	n	526679	0.730818
29	a	506911	0.703388
30	в	437107	0.606528
31	o	402815	0.558944
32	e	383848	0.532626
33	я	368032	0.510680
34	r	320631	0.444906
35	k	314833	0.436861
36	э	302248	0.419398
37	s	299369	0.415403
38	u	258397	0.358551
39	l	233622	0.324173
40	i	222058	0.308127
41	y	199445	0.276749
42	d	192069	0.266514
43	h	164820	0.228704
44	p	143168	0.198659
45	ц	138257	0.191845
46	ң	121713	0.168888
47	c	107489	0.149151
48	w	99030	0.137414
49	ю	91488	0.126948
50	ф	90811	0.126009
51	b	88535	0.122851
52	m	70909	0.098393
53	g	70226	0.097445
54	z	60405	0.083818
55	ь	47834	0.066374
56	х	45823	0.063584
57	v	28303	0.039273
58	j	25330	0.035148
59	 	18272	0.025354
60	\t	12719	0.017649
61	f	8419	0.011682
62	ё	6641	0.009215
63	ъ	3135	0.004350
64	x	2190	0.003039
65	щ	1302	0.001807
66	ѳ	919	0.001275
67	q	645	0.000895
68	ü	154	0.000214
69	ı	142	0.000197
70	ɵ	99	0.000137
71	ş	93	0.000129
72	ç	79	0.000110
73	і	70	0.000097
74	ا	65	0.000090
75	ö	51	0.000071
76	 	47	0.000065
77	ʙ	44	0.000061
78	ƣ	38	0.000053
79	ی	37	0.000051
80	ğ	25	0.000035
81	ر	25	0.000035
82	 	22	0.000031
83	و	18	0.000025
84	ن	17	0.000024
85	ه	16	0.000022
86	á	15	0.000021
87	δ	14	0.000019
88	س	14	0.000019
89	م	14	0.000019
90	ب	13	0.000018
91	د	13	0.000018
92	ل	13	0.000018
93	ツ	13	0.000018
94	ت	12	0.000017
95	é	11	0.000015
96	č	10	0.000014
97	ي	9	0.000012
98	ک	9	0.000012
99	ə	8	0.000011
100	ز	8	0.000011
101	ح	6	0.000008
102	ش	6	0.000008
103	ꞑ	6	0.000008
104	ع	5	0.000007
105	پ	5	0.000007
106	è	4	0.000006
107	ì	4	0.000006
108	ó	4	0.000006
109	γ	4	0.000006
110	خ	4	0.000006
111	ق	4	0.000006
112	ù	3	0.000004
113	ج	3	0.000004
114	ظ	3	0.000004
115	گ	3	0.000004
116	し	3	0.000004
117	𝗰	3	0.000004
118	𝘁	3	0.000004
119	â	2	0.000003
120	í	2	0.000003
121	î	2	0.000003
122	ñ	2	0.000003
123	ě	2	0.000003
124	ƶ	2	0.000003
125	ث	2	0.000003
126	ص	2	0.000003
127	ف	2	0.000003
128	ك	2	0.000003
129	ℹ	2	0.000003
130	の	2	0.000003
131	は	2	0.000003
132	ま	2	0.000003
133	ら	2	0.000003
134	を	2	0.000003
135	ー	2	0.000003
136	ㅡ	2	0.000003
137	況	2	0.000003
138	ꞌ	2	0.000003
139	𝗼	2	0.000003
140	𝘀	2	0.000003
141	à	1	0.000001
142	ä	1	0.000001
143	æ	1	0.000001
144	ð	1	0.000001
145	ô	1	0.000001
146	ø	1	0.000001
147	û	1	0.000001
148	þ	1	0.000001
149	ĥ	1	0.000001
150	ł	1	0.000001
151	ń	1	0.000001
152	ŋ	1	0.000001
153	š	1	0.000001
154	ũ	1	0.000001
155	ș	1	0.000001
156	ɕ	1	0.000001
157	ɤ	1	0.000001
158	ʁ	1	0.000001
159	ʃ	1	0.000001
160	ʑ	1	0.000001
161	ʻ	1	0.000001
162	ʼ	1	0.000001
163	θ	1	0.000001
164	λ	1	0.000001
165	ς	1	0.000001
166	υ	1	0.000001
167	ω	1	0.000001
168	ذ	1	0.000001
169	ض	1	0.000001
170	ط	1	0.000001
171	غ	1	0.000001
172	ى	1	0.000001
173	ᶇ	1	0.000001
174	ầ	1	0.000001
175	ἅ	1	0.000001
176	 	1	0.000001
177	い	1	0.000001
178	う	1	0.000001
179	え	1	0.000001
180	か	1	0.000001
181	が	1	0.000001
182	く	1	0.000001
183	こ	1	0.000001
184	ご	1	0.000001
185	さ	1	0.000001
186	た	1	0.000001
187	だ	1	0.000001
188	っ	1	0.000001
189	て	1	0.000001
190	で	1	0.000001
191	な	1	0.000001
192	に	1	0.000001
193	も	1	0.000001
194	ょ	1	0.000001
195	り	1	0.000001
196	ん	1	0.000001
197	ゴ	1	0.000001
198	シ	1	0.000001
199	ジ	1	0.000001
200	ペ	1	0.000001
201	ロ	1	0.000001
202	不	1	0.000001
203	世	1	0.000001
204	中	1	0.000001
205	十	1	0.000001
206	半	1	0.000001
207	啊	1	0.000001
208	場	1	0.000001
209	大	1	0.000001
210	妙	1	0.000001
211	姿	1	0.000001
212	字	1	0.000001
213	守	1	0.000001
214	彎	1	0.000001
215	情	1	0.000001
216	新	1	0.000001
217	日	1	0.000001
218	曾	1	0.000001
219	最	1	0.000001
220	有	1	0.000001
221	本	1	0.000001
222	樹	1	0.000001
223	消	1	0.000001
224	澤	1	0.000001
225	狀	1	0.000001
226	献	1	0.000001
227	現	1	0.000001
228	白	1	0.000001
229	社	1	0.000001
230	細	1	0.000001
231	血	1	0.000001
232	覧	1	0.000001
233	詳	1	0.000001
234	赤	1	0.000001
235	錚	1	0.000001
236	點	1	0.000001
237	𝗮	1	0.000001
238	𝗱	1	0.000001
239	𝗻	1	0.000001
240	𝗽	1	0.000001
241	𝗿	1	0.000001
242	𝘂	1	0.000001
